<DATA>
<BOAT CARPOS=-372.55, -1036.113, -0.1734731; CARHEADING=309.5673 />
<BOAT CARPOS=-425.0824, -979.6078, -0.009196341; CARHEADING=88.90623 />
<BOAT CARPOS=-419.9152, -941.471, -0.2630637; CARHEADING=359.7372 />
<BOAT CARPOS=-404.824, -941.8502, -0.2849999; CARHEADING=358.5869 />
<BOAT CARPOS=-333.7415, -915.0031, 0.1627063; CARHEADING=212.9089 />
<BOAT CARPOS=-240.8923, -908.6324, 0.001345873; CARHEADING=56.89823 />
<BOAT CARPOS=-234.0379, -1017.537, 0.002235919; CARHEADING=122.3478 />
<BOAT CARPOS=-361.2232, -877.655, 0.002097607; CARHEADING=217.1752 />
<BOAT CARPOS=-411.5074, -754.1888, 0.001675963; CARHEADING=129.9688 />
<BOAT CARPOS=-319.0504, -722.0168, 0.0005553961; CARHEADING=75.09772 />
<BOAT CARPOS=-503.6959, -776.3083, 0.08137896; CARHEADING=21.01232 />
<BOAT CARPOS=-377.4834, -726.9539, 0.0004172921; CARHEADING=126.6218 />
<BOAT CARPOS=-543.9406, -619.2237, 0.001666099; CARHEADING=221.4639 />
<BOAT CARPOS=-781.6025, -730.9636, 0.08094174; CARHEADING=357.1209 />
<BOAT CARPOS=-384.243, -532.4805, 0.09908572; CARHEADING=30.73159 />
<BOAT CARPOS=-735.9026, -571.6877, 0.002650261; CARHEADING=309.1766 />
<BOAT CARPOS=-808.9041, -768.092, 0.08137896; CARHEADING=271.4392 />
<BOAT CARPOS=-715.383, -403.9919, 0.003882825; CARHEADING=213.0935 />
<BOAT CARPOS=-903.4467, -264.79, 0.5336988; CARHEADING=270 />
<BOAT CARPOS=-819.5, -428.2015, 0.0005325675; CARHEADING=179.9996 />
<BOAT CARPOS=-504.0645, -776.7045, 0.08137896; CARHEADING=25.45087 />
<BOAT CARPOS=-750.2889, -347.8337, 0.002502024; CARHEADING=211.1824 />
<BOAT CARPOS=-960.8299, -524.4919, 0.08137896; CARHEADING=272.7643 />
<BOAT CARPOS=-819.5, -367.1414, 0.00278309; CARHEADING=179.9999 />
<BOAT CARPOS=-819.5, -307.555, 0.001485497; CARHEADING=180.0012 />
<BOAT CARPOS=-827.8142, -236.6634, 0.001464695; CARHEADING=214.8935 />
<BOAT CARPOS=-895.0589, -141.2733, 0.003650039; CARHEADING=217.0401 />
<BOAT CARPOS=-908.8971, -73.55464, 0.0009999573; CARHEADING=176.6194 />
<BOAT CARPOS=-1114.114, -91.42758, 0.08137896; CARHEADING=90.68465 />
<BOAT CARPOS=-982.7143, -83.11851, 0.00352627; CARHEADING=310.7255 />
<BOAT CARPOS=-887.9112, -1.281511, 0.0009866953; CARHEADING=311.6918 />
